Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,46.0 м²,4,Лизинггүй,Сонгино Хайрхан,3,21-р хороолол,4395984,Нийтэлсэн: 2021-01-10 12:40,21-р хороололд арктай 1өрөө 46м2,49000000.0,Улаанбаатар,,,739,1
Паркет,1 тагттай,2017,Байхгүй,Вакум,12,Бүргэд,31.0 м²,1,Лизинггүй,Баянзүрх,2,Амгалан,4592797,Нийтэлсэн: 2021-01-10 18:29,Ulaanhuarand 1 uruu bair,1650000.0,Улаанбаатар,,,109,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,31.0 м²,11,Лизинггүй,Баянзүрх,1,16-р хороолол,4622631,Нийтэлсэн: 2021-01-10 21:34,Цайз захын хажууд 1 өрөө байр 31м2,52000000.0,Улаанбаатар,,,141,6
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,35.0 м²,10,Лизинггүй,Баянзүрх,2,16-р хороолол,4622480,Нийтэлсэн: 2021-01-10 19:52,16д 1 өрөө 35м2,59000000.0,Улаанбаатар,,,212,1
Паркет,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,39.0 м²,11,Лизинггүй,Баянзүрх,2,13-р хороолол,4223672,Нийтэлсэн: 2021-01-11 03:04,Бзд 1 өрөө байр,79000000.0,Улаанбаатар,,,286,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Вакум,40.09 м²,7,Банкны лизингтэй,Баянзүрх,1,Өгөөмөр захын зүүн,4622890,Нийтэлсэн: 2021-01-11 07:53,"1өрөө 40,09м2 байр",80000000.0,Улаанбаатар,,,162,2
Паркет,1 тагттай,2007,Байхгүй,Мод,5,Бүргэд,31.0 м²,2,Банкны лизингтэй,Баянгол,2,10-р хороолол,4622840,Нийтэлсэн: 2021-01-11 08:09,10р хороололд 31м2 1 өрөө байр.,61000000.0,Улаанбаатар,,,243,1
Паркет,Тагтгүй,2010,Байхгүй,Вакум,9,Мод,36.6 м²,2,Лизинггүй,Хан-Уул,2,Хурд,4443959,Нийтэлсэн: 2021-01-11 09:09,rapid 1 өрөө 36.6м2 байр,74000000.0,Улаанбаатар,,,159,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,37.0 м²,7,Лизинггүй,Хан-Уул,2,19-р хороолол,4587698,Нийтэлсэн: 2020-12-18 15:59,1 өрөө байр,70000000.0,Улаанбаатар,,,763,4
Паркет,1 тагттай,2020,Байхгүй,Вакум,7,Бүргэд,30.34 м²,3,Лизинггүй,Хан-Уул,1,Яармаг,4598408,Нийтэлсэн: 2021-01-11 09:26,"Яармаг нүхт явах замд 30,34мк 1-өрөө байр",51500000.0,Улаанбаатар,,,130,1
Мод,Тагтгүй,2008,Байхгүй,Вакум,9,Төмөр,37.0 м²,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",4589088,Нийтэлсэн: 2020-12-19 11:34,1 өрөө байр,69000000.0,Улаанбаатар,,,486,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,33.7 м²,8,Банкны лизингтэй,Хан-Уул,1,Бусад,4589179,Нийтэлсэн: 2020-12-19 12:39,Буянт-ухаа 1-д 1 өрөө,55000000.0,Улаанбаатар,,,579,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,41.0 м²,1,Лизинггүй,Баянзүрх,2,Сансар,4589635,Нийтэлсэн: 2020-12-19 14:41,1 өрөө байр,68000000.0,Улаанбаатар,,,393,1
